Station;StartedTrips
Métro Mont-Royal (Rivard / du Mont-Royal);89813
Métro Atwater (Atwater / Ste-Catherine);56496
Boyer / du Mont-Royal;54674
Prince-Arthur / du Parc;49846
Parc Jeanne Mance (monument sir George-Etienne Cartier);49426
St-Dominique / Laurier;44421
Métro Papineau (Cartier / Ste-Catherine);42713
Métro Peel (de Maisonneuve / Stanley);40842
St-Dominique / Rachel;39190
Clark / Prince-Arthur;39166
Milton / Clark;38898
St-André / Ste-Catherine;37580
Parc Jeanne-Mance (du Mont-Royal / du Parc);37460
Roy / St-Denis;37005
Berri / Cherrier;36696
Clark / Rachel;36590
Mackay / de Maisonneuve;36397
University / Milton;36010
Métro Guy-Concordia (Guy / St-Catherine);35310
de la Commune / Place Jacques-Cartier;35306
Jeanne-Mance / Laurier;35118
McTavish / Sherbrooke;35071
Crescent / de Maisonneuve;34837
Resther / du Mont-Royal;34203
St-Catherine / St-Laurent;33868
Émile-Duployé / Sherbrooke;33299
des Bassins / du Séminaire;33029
Milton / Durocher;33015
Parc du Pélican (1ère avenue / Masson);32302
Métro St-Laurent (de Maisonneuve / St-Laurent);31462
Rachel / de Brébeuf;31363
de Lanaudière / du Mont-Royal;31162
Chomedey / de Maisonneuve;31073
Milton / du Parc;30999
de la Commune / St-Sulpice;30545
Boyer / Beaubien;30309
St-Mathieu / Ste-Catherine;30290
de la Commune / King;30126
de l'Esplanade / Fairmount;29372
St-Dominique / Napoléon;29267
Rivard / Rachel;29180
Duluth / de l'Esplanade;29177
Drolet / Laurier;28996
Jeanne-Mance / St-Viateur;28885
Marmier / St-Denis;28775
Dorion / Ontario;28739
de la Commune / Berri;28470
St-Dominique / St-Zotique;28446
Young / Wellington;27842
Bernard / Jeanne-Mance;27628
Marché Atwater;27194
Guilbault / Clark;26870
Vallières / St-Laurent;26592
St-Hubert / Duluth;26559
10e avenue / Masson;26374
Gary-Carter / St-Laurent;26099
Boyer / Rosemont;25844
Drolet / Marie-Anne;25764
Calixa-Lavallée / Sherbrooke;25250
Notre-Dame / Jean-d'Estrées;25108
Bélanger / St-Denis;24931
Jardin Botanique (Pie-IX / Sherbrooke);24902
Clark / St-Viateur;24878
Richmond / des Bassins;24544
Bloomfield / Bernard;24403
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin);24185
Aylmer / Prince-Arthur;24166
Jean-Brillant / de la Côte-des-Neiges;24155
de Maisonneuve / Mansfield (sud);24006
Maguire / St-Laurent;23998
Boyer / St-Zotique;23849
Léa-Roback / Sir-Georges-Etienne-Cartier;23478
Hutchison / des Pins;23459
St-Dominique / du Mont-Royal;23256
Atateken / du Square Amherst;23096
University / Prince-Arthur;23094
Ste-Catherine / St-Marc;22990
Bernard / St-Urbain;22930
Laval / Rachel;22789
Notre-Dame / de la Montagne;22626
Pontiac / Gilford;22596
du Parc-La Fontaine / Roy;22564
Marie-Anne / de la Roche;22257
Hutchison / Prince-Arthur;22149
Ste-Catherine / Labelle;22007
Parc Jean-Drapeau (Chemin Macdonald);21923
Clark / Ontario;21627
Square Victoria (Viger / du Square-Victoria);21586
St-Dominique / de Bellechasse;21569
de Maisonneuve / Greene;21407
Tupper / du Fort;20823
Édouard-Montpetit / de Stirling;20735
du Parc-La Fontaine / Duluth;20713
Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance);20682
St-Mathieu / Sherbrooke;20603
Waverly / St-Viateur;20580
Boyer / Bélanger;20409
Parc Baldwin (Fullum / Sherbrooke);20341
Villeneuve / de l'Hôtel-de-Ville;20307
5e avenue / Masson;20282
Métro Beaudry (Montcalm / de Maisonneuve);20082
Métro Beaudry (Montcalm / de Maisonneuve);20082
Berri / Rachel;19710
Labadie / du Parc;19647
Gilford / de Brébeuf;19623
Métro Frontenac (Ontario / du Havre);19538
Drummond / Ste-Catherine;19469
Boucher / St-Denis;19438
des Érables / Rachel;19161
Gare d'autocars de Montréal (Berri / Ontario);19138
Prince-Arthur / St-Urbain;18685
Drummond / de Maisonneuve;18502
Métro Charlevoix (Centre / Charlevoix);18496
de Mentana / Marie-Anne;18256
Metcalfe / St-Catherine;18241
Métro Parc  (Hutchison / Ogilvy);18198
Bishop / Ste-Catherine;18141
Fullum / Marie-Anne;17986
Jeanne-d'Arc / Ontario;17922
Marie-Anne / St-Hubert;17892
du President-Kennedy / Union;17887
Jeanne-Mance / René-Lévesque;17835
de l'Hôtel-de-Ville / Sherbrooke;17822
Parthenais / du Mont-Royal;17773
Métro Laurier (Berri / St-Joseph);17712
Ste-Catherine / Union;17707
Ste-Catherine / Union;17707
de l'Hôtel-de-Ville / Roy;17706
St-Charles / Thomas-Keefer;17574
St-Charles / Thomas-Keefer;17574
des Érables / du Mont-Royal;17543
Panet / Ste-Catherine;17469
Panet / Ste-Catherine;17469
Beaudry / Sherbrooke;17443
Métro Place St-Henri (St-Ferdinand / St-Jacques);17416
Ste-Émilie / Sir-Georges-Etienne-Cartier;17292
Plessis / Ontario;17197
Sanguinet / de Maisonneuve;17098
St-Hubert / Laurier;16975
de Bordeaux / Sherbrooke;16944
de Kent / de la Côte-des-Neiges;16798
de Maisonneuve / Mansfield (nord);16790
St-Denis / René-Lévesque;16738
Métro Champ-de-Mars (Viger / Sanguinet);16588
Parc de Bullion (de Bullion / Prince-Arthur);16569
Joseph-Manseau / René-Lévesque;16492
Métro Jarry (Lajeunesse / Jarry);16411
Boyer / Jean-Talon;16242
St-Dominique / St-Viateur;16215
de Bellechasse / de St-Vallier;16134
Louis-Hébert / Beaubien;16089
William / St-Henri;15972
de Bleury / de Maisonneuve;15964
Aylmer / Ste-Catherine;15962
Aylmer / Ste-Catherine;15962
Garnier / St-Grégoire;15883
St-Urbain / René-Lévesque;15778
des Seigneurs / Notre-Dame;15705
Place Émilie-Gamelin (St-Hubert / de Maisonneuve);15654
Gilford / St-Denis;15570
Gilford / St-Denis;15570
Victoria / de Maisonneuve;15491
Duvernay / Charlevoix;15464
Drolet / Beaubien;15372
de la Roche /  de Bellechasse;15209
de la Roche / Bélanger;15129
Peel / Ottawa;15091
Peel / Ottawa;15091
Aylmer / Sherbrooke;14998
Crescent / René-Lévesque;14990
Larivière / de Lorimier;14909
Guy / Notre-Dame;14763
Lajeunesse / Villeray;14713
Métro Édouard-Montpetit (du Mont-Royal / Vincent-d'Indy);14708
de l'Hôtel-de-Ville / Ste-Catherine;14658
Ste-Catherine / Dezery;14636
Richardson / de Montmorency;14573
de Bordeaux / Masson;14570
Fullum / de Rouen;14426
de Bullion / St-Joseph;14358
Logan / de Champlain;14346
McKenna / Édouard-Montpetit;14323
Place d'Youville / McGill;14264
Gilford / de Lanaudière;14045
d'Orléans / Masson;14008
Wilderton  / Van Horne;13887
Chabot / Beaubien;13823
Mansfield / Ste-Catherine;13782
Alexandre-DeSève / Ste-Catherine;13744
Henri-Julien / de Castelnau;13733
St-Urbain / de la Gauchetière;13587
St-Urbain / Beaubien;13581
des Érables / Laurier;13489
Wolfe / Robin;13438
Molson / Beaubien;13417
St-Nicolas / Place d'Youville;13335
Parc Maisonneuve (Viau / Sherbrooke);13333
Métro Place-d'Armes (Viger / St-Urbain);13296
Cypress / Peel;13219
Beaubien / 8e avenue;13179
St-Dominique / Jean-Talon;13145
de Lanaudière / Bélanger;13115
des Récollets / McGill;13088
Métro de Castelnau (de Castelnau / St-Laurent);12958
Drolet / St-Zotique;12911
Chabot / de Bellechasse;12856
Cartier / Dandurand;12821
Faillon / St-Denis;12821
de la Côte St-Paul / St-Ambroise;12784
du Havre / de Rouen;12574
Marquette / Gilford;12554
Sanguinet / Ontario;12503
Métro Snowdon (de Westbury / Queen-Mary);12466
Logan / Fullum;12405
de Gaspé / Villeray;12403
Fabre / St-Zotique;12327
Marquette / des Carrières;12310
Swail / Decelles;12294
Durocher / Bernard;12287
Dorion / Rachel;12230
Dorion / Rachel;12230
de St-Vallier / St-Zotique;12225
7e avenue / St-Joseph Rosemont;12201
de Maisonneuve / Aylmer (ouest);12091
18e avenue / Rosemont;12074
Bloomfield / Van Horne;12069
Ste-Famille / des Pins;12069
Turgeon / Notre-Dame;12057
de Mentana / Gilford;12007
Maguire / Henri-Julien;11957
Louis-Hébert / de Bellechasse;11926
Parc Kent (de Kent / Hudson);11889
Marcil / Sherbrooke;11877
St-Antoine / de la Montagne;11795
de Soissons / de Darlington;11711
Metcalfe / de Maisonneuve;11657
Beaudry / Ontario;11625
1ère avenue / Rosemont;11530
Parc Père-Marquette (de Lanaudière / de Bellechasse);11509
de Mentana / Rachel;11494
Fullum / Holt;11479
Métro Georges-Vanier (St-Antoine / Canning);11473
la Fontaine / Alexandre-de-Sève;11451
Place du Canada (Peel / de la Gauchetière);11423
Place du Canada (Peel / de la Gauchetière);11423
Augustin-Cantin / Shearer;11412
Marie-Anne / Papineau;11398
Eleanor / Ottawa;11389
Christophe-Colomb / St-Joseph;11373
de Normanville / Villeray;11264
Métro Sauvé (Berri / Sauvé);11217
du Rosaire / St-Hubert;11213
Ryde / Charlevoix;11200
Métro Pie-IX (Pierre-de-Coubertin / de la Salle);11092
City Councillors / du President-Kennedy;11087
Boyer / Everett;11036
Parc Ludger-Duvernay (St-André / St-Hubert);11034
Montcalm / de Maisonneuve;10943
Bennett / Pierre-de-Coubertin;10915
Cartier / Rosemont;10911
du Mont-Royal / Augustin-Frigon;10901
Montcalm / Ontario;10835
St-Jacques / McGill;10830
19e avenue / St-Zotique;10819
Mozart / St-Laurent;10794
Wurtele / de Rouen;10775
St-Dominique / Bernard;10752
Hélène-Baillargeon / St-Denis;10695
Fullum / Ontario;10683
Ontario / Viau;10678
Mackay / Sainte-Catherine;10631
Metcalfe / du Square-Dorchester;10618
Victoria Hall;10613
Casgrain / Maguire;10598
Fabre / Beaubien;10581
William / Robert-Bourassa;10553
St-André / St-Antoine;10547
Union / René-Lévesque;10492
Campus MIL (Outremont / Thérèse-Lavoie Roux);10471
Cartier / Bélanger;10452
St-Christophe / René-Lévesque;10446
St-Christophe / René-Lévesque;10446
de Champlain / Ontario;10363
Fullum / Gilford;10357
de Léry / Sherbrooke;10334
de Léry / Sherbrooke;10334
Marquette / Villeray;10279
Ontario / Sicard;10279
St-Jacques / St-Laurent;10244
Rosemont / Viau;10210
de Gaspé / St-Viateur;10080
Molson / William-Tremblay;10063
de la Montagne/ Sherbrooke;10042
de la Montagne/ Sherbrooke;10042
Atwater / Greene;10025
Queen / Wellington;10007
Robert-Bourassa / Ste-Catherine;9921
Poupart / Ontario;9866
Hôpital général juif (de la Côte Ste-Catherine / Légaré);9842
Métro Lionel-Groulx (St-Jacques / Atwater);9827
Alexandre-DeSève  / Ontario;9765
de Bordeaux / St-Zotique;9757
Parc St-Paul (Le Caron / Marc-Sauvalle);9721
Jean Langlois / Fullum;9718
U. Concordia - Campus Loyola (Sherbrooke / West Broadway);9718
Melville / de Maisonneuve;9716
Durocher / Sherbrooke;9705
Plessis / René-Lévesque;9704
de Gaspé / Dante;9603
Lincoln / du Fort;9580
