J;F;M;A;M;J;J;A;S;O;N;D;Station
0;0;0;0;0;0;0;0;0;922;697;0;3 Ave & Carroll St
0;0;0;0;0;0;0;0;0;964;805;0;3 Ave & E 100 St
0;0;0;0;0;0;0;0;0;1069;807;0;3 Ave & E 112 St
0;0;0;0;0;0;0;0;0;472;381;0;3 Ave & E 163 St
0;0;0;0;0;0;0;0;0;876;660;0;3 Ave & E 169 St
0;0;0;0;0;0;0;0;0;803;713;0;3 Ave & E 170 St
0;0;0;0;0;0;0;0;0;567;534;0;3 Ave & E 172 St
0;0;0;0;0;0;0;0;0;303;246;0;3 Ave & E 174 St
0;0;0;0;0;0;0;0;0;6149;6844;0;3 Ave & E 62 St
0;0;0;0;0;0;0;0;0;1988;2027;0;3 Ave & E 71 St
0;0;0;0;0;0;0;0;0;2321;1733;0;3 Ave & E 72 St
0;0;0;0;0;0;0;0;0;358;333;0;3 Ave & Franklin Ave
0;0;0;0;0;0;0;0;0;1954;1702;0;3 Ave & Schermerhorn St
0;0;0;0;0;0;0;0;0;154;198;0;3 Ave & Wakeman Pl
0;0;0;0;0;0;0;0;0;1284;1079;0;3 St & 3 Ave
0;0;0;0;0;0;0;0;0;3211;2446;0;3 St & 7 Ave
0;0;0;0;0;0;0;0;0;872;781;0;3 St & Hoyt St
0;0;0;0;0;0;0;0;0;2646;2120;0;3 St & Prospect Park West
0;0;0;0;0;0;0;0;0;310;380;0;30 Ave & 12 St
0;0;0;0;0;0;0;0;0;619;595;0;30 Ave & 21 St
0;0;0;0;0;0;0;0;0;971;899;0;30 Ave & 41 St
0;0;0;0;0;0;0;0;0;495;466;0;30 Ave & 47 St
0;0;0;0;0;0;0;0;0;438;388;0;30 St & 4 Ave
0;0;0;0;0;0;0;0;0;293;307;0;30 St & 48 Ave
0;0;0;0;0;0;0;0;0;696;729;0;31 Ave & 14 St
0;0;0;0;0;0;0;0;0;1133;986;0;31 Ave & 30 St
0;0;0;0;0;0;0;0;0;1423;1125;0;31 Ave & 34 St
0;0;0;0;0;0;0;0;0;221;201;0;31 Ave & 57 St
0;0;0;0;0;0;0;0;0;296;237;0;31 Ave & 61 St
0;0;0;0;0;0;0;0;0;1294;1097;0;31 Ave & Crescent St
0;0;0;0;0;0;0;0;0;1350;1255;0;31 Ave & Steinway St
0;0;0;0;0;0;0;0;0;142;103;0;31 Pl & Hunters Point Ave
0;0;0;0;0;0;0;0;0;499;466;0;31 Rd & 21 St
0;0;0;0;0;0;0;0;0;845;645;0;31 St & 21 Ave
0;0;0;0;0;0;0;0;0;2189;2022;0;31 St & 23 Ave
0;0;0;0;0;0;0;0;0;814;811;0;31 St & Astoria Blvd
0;0;0;0;0;0;0;0;0;2222;1906;0;31 St & Broadway
0;0;0;0;0;0;0;0;0;1816;1638;0;31 St & Ditmars Blvd
0;0;0;0;0;0;0;0;0;914;669;0;31 St & Hoyt Ave N
0;0;0;0;0;0;0;0;0;2469;2078;0;31 St & Newtown Ave
0;0;0;0;0;0;0;0;0;829;759;0;31 St & Northern Blvd
0;0;0;0;0;0;0;0;0;744;357;0;31 St & Thomson Ave
0;0;0;0;0;0;0;0;0;272;262;0;33 St & 47 Ave
0;0;0;0;0;0;0;0;0;283;290;0;34 Ave & 13 St
0;0;0;0;0;0;0;0;0;565;510;0;34 Ave & 21 St
0;0;0;0;0;0;0;0;0;653;631;0;34 Ave & 31 St
0;0;0;0;0;0;0;0;0;1313;1101;0;34 Ave & 38 St
0;0;0;0;0;0;0;0;0;479;359;0;34 Ave & 45 St
0;0;0;0;0;0;0;0;0;539;385;0;34 Ave & 48 St
0;0;0;0;0;0;0;0;0;783;718;0;34 St & 35 Ave
0;0;0;0;0;0;0;0;0;602;458;0;34 St & 38 Ave
0;0;0;0;0;0;0;0;0;338;223;0;34 St & 4 Ave
0;0;0;0;0;0;0;0;0;217;238;0;34 St & 48 Ave
0;0;0;0;0;0;0;0;0;239;194;0;34 St & 5 Ave
0;0;0;0;0;0;0;0;0;946;739;0;34th Ave & Vernon Blvd
0;0;0;0;0;0;0;0;0;822;804;0;35 Ave & 10 St
0;0;0;0;0;0;0;0;0;1082;1113;0;35 Ave & 37 St
0;0;0;0;0;0;0;0;0;370;406;0;35 St & 21 Ave
0;0;0;0;0;0;0;0;0;627;537;0;35 St & 23 Ave
0;0;0;0;0;0;0;0;0;1083;894;0;35 St & 30 Ave
0;0;0;0;0;0;0;0;0;714;549;0;35 St & 34 Ave
0;0;0;0;0;0;0;0;0;1090;1005;0;35 St & Broadway
0;0;0;0;0;0;0;0;0;689;529;0;36 Ave & 10 St
0;0;0;0;0;0;0;0;0;1344;1052;0;36 Ave & 31 St
0;0;0;0;0;0;0;0;0;740;558;0;36 St & 3 Ave
0;0;0;0;0;0;0;0;0;830;704;0;36 St & 4 Ave
0;0;0;0;0;0;0;0;0;200;216;0;36 St & 47 Ave
0;0;0;0;0;0;0;0;0;843;709;0;36 St & Ditmars Blvd
0;0;0;0;0;0;0;0;0;182;141;0;36 St & Hunters Point Ave
0;0;0;0;0;0;0;0;0;444;375;0;36 St & Queens Blvd
0;0;0;0;0;0;0;0;0;433;417;0;37 Ave & 35 St
0;0;0;0;0;0;0;0;0;122;85;0;37 Ave & 63 St
0;0;0;0;0;0;0;0;0;533;430;0;37 St & 24 Ave
0;0;0;0;0;0;0;0;0;734;534;0;38 Ave & 29 St
0;0;0;0;0;0;0;0;0;1409;1290;0;38 St & 30 Ave
0;0;0;0;0;0;0;0;0;363;300;0;38 St & Northern Blvd
0;0;0;0;0;0;0;0;0;315;279;0;39 Ave & 45 St
0;0;0;0;0;0;0;0;0;113;63;0;39 Ave & 54 St
0;0;0;0;0;0;0;0;0;190;192;0;39 Ave & 56 St
0;0;0;0;0;0;0;0;0;223;246;0;39 Dr & 52 St
0;0;0;0;0;0;0;0;0;351;446;0;39 St & 47 Ave
0;0;0;0;0;0;0;0;0;404;286;0;39 St & 50 Ave
0;0;0;0;0;0;0;0;0;562;452;0;39 St & Queens Blvd
0;0;0;0;0;0;0;0;0;622;404;0;4 Ave & 17 St
