Station;RoundingTrips
Beaucourt / de la Côte-Ste-Catherine;1459
Mozart / Waverly;1457
Métro de la Savane (de Sorel / Bougainville);1452
du Président-Kennedy / Jeanne-Mance;1438
27e avenue / Rosemont;1426
Métro Place St-Henri (St-Ferdinand / St-Jacques);1426
du President-Kennedy / Union;1416
12e avenue / St-Zotique;1415
St-Dominique / du Mont-Royal;1411
Stanley / Sherbrooke;1410
Jardin Botanique (Pie-IX / Sherbrooke);1406
Parc de la Confédération (Fielding / West Hill);1398
Jacques-Le Ber / de la Pointe Nord;1384
Quesnel / Vinet;1374
Casgrain / Mozart;1359
Dandurand / de Lorimier;1359
de Bordeaux / Marie-Anne;1351
Molson / William-Tremblay;1351
2e avenue /centrale;1350
Des Érables / Villeray;1339
des Bassins / du Séminaire;1338
Sicard / Adam;1329
1ère avenue / Rosemont;1319
Ste-Catherine / Labelle;1319
Parc Joyce (Rockland / Lajoie);1312
de la Commune / Place Jacques-Cartier;1310
Pratt / Bates;1310
Labadie / du Parc;1299
Jeanne-Mance / St-Martin O;1283
des Récollets / Martial;1275
St-Mathieu / Ste-Catherine;1274
Vallières / St-Laurent;1271
Hutchison / Beaubien;1270
Logan / de Champlain;1269
Rachel / de Brébeuf;1269
Marmier / St-Denis;1267
de la Salle / Hochelaga;1264
Egan / Laurendeau;1261
de la Roche /  de Bellechasse;1256
Clark / de Liège;1252
de Mentana / Marie-Anne;1248
Parc MacDonald (Earnscliffe / Dupuis);1243
Messier / St-Joseph;1242
Sanguinet / de Maisonneuve;1242
Louis-Hémon / Rosemont;1236
Boyer / St-Zotique;1233
de l'Eglise / St-Germain;1229
Villeneuve / du Parc;1227
Hôpital Santa Cabrini (St-Zotique / Jeanne-Jugan);1211
Swail / Decelles;1208
Laurier / Parisi;1205
Hôpital Général Juif (de la Côte-Ste-Catherine / Légaré);1200
Parc Kent (de Kent / Hudson);1197
St-Jean-Baptiste / René-Lévesque;1197
BAnQ (Berri / de Maisonneuve);1184
St-Henri / Notre-Dame;1184
Chomedey / de Maisonneuve;1175
Parthenais / Ste-Catherine;1173
