Station;StartedTrips
Barrow St & Hudson St;6229
E 41 St & Madison Ave (SE corner);6184
W 56 St & 8 Ave;6137
Fulton St & Adams St;6116
W 56 St & 6 Ave;6116
W 42 St & Dyer Ave;6107
8 Ave & W 24 St;6104
E 9 St & Avenue C;6071
W 56 St & 10 Ave;6069
Bergen St & Smith St;6047
E 6 St & Avenue D;6043
Rivington St & Chrystie St;6022
E 13 St & Avenue A;6008
Gramercy Park N & Gramercy Park E;6008
Forsyth St & Canal St;5992
W 30 St & 8 Ave;5975
Central Park West & W 85 St;5967
Orchard St & Grand St;5961
Broadway & Berry St;5945
E 53 St & Madison Ave;5939
W 100 St & Broadway;5929
E 39 St & Lexington Ave;5905
E 91 St & 2 Ave;5899
Gansevoort St & Hudson St;5877
Frederick Douglass Blvd & W 117 St;5848
Frederick Douglass Blvd & W 112 St;5845
Murray St & Greenwich St;5845
Division St & Bowery;5844
MacDougal St & Washington Sq;5835
Riverside Blvd & W 67 St;5835
Park Ave & E 124 St;5829
Riverside Dr & W 72 St;5771
E 59 St & Madison Ave;5752
Mercer St & Bleecker St;5733
Stanton St & Norfolk St;5723
Walker St & Baxter St;5713
E 26 St & 3 Ave;5705
Amsterdam Ave & W 66 St;5702
E 7 St & Avenue A;5693
Bergen St & Vanderbilt Ave;5684
10 Ave & W 14 St;5665
Lispenard St & Broadway;5661
S 5 Pl & S 5 St;5618
E 41 St & Madison Ave (SW corner);5603
W 36 St & 9 Ave;5595
Centre St & Chambers St;5574
E 54 St & 1 Ave;5537
Court St & State St;5500
7 Ave & Central Park South;5466
Mercer St & Spring St;5466
Lafayette Ave & Ft Greene Pl;5451
Berry St & N 8 St;5415
E 7 St & Ave B;5393
Driggs Ave & N 9 St;5386
Pike St & E Broadway;5367
7 Ave & Park Pl;5359
Grand St & Samuel Dickstein Plaza;5356
W 51 St & Rockefeller Plaza;5351
Madison Av & E 51 St;5348
E 88 St & 1 Ave;5310
West Drive & Prospect Park West;5307
Queens Plaza North & Crescent St;5295
W 40 St & 5 Ave;5242
West Thames St;5242
Forsyth St & Broome St;5230
Central Park North & Adam Clayton Powell Blvd;5224
Avenue D & E 3 St;5217
Fulton St & Broadway;5211
W 50 St & 9 Ave;5198
E 48 St & 3 Ave;5170
E 56 St & Madison Ave;5168
E 51 St & 2 Ave;5165
King St & Varick St;5158
Franklin St & Dupont St;5155
Broadway & W 36 St;5135
Clinton Ave & Myrtle Ave;5133
W 89 St & Columbus Ave;5130
E 1 St & Bowery;5121
Little West St & 1 Pl;5086
W 47 St & 9 Ave;5078
Greenwich St & Hubert St;5062
E 5 St & Avenue C;5053
W 95 St & Broadway;5043
Berkeley Pl & 7 Ave;5033
Bayard St & Baxter St;5026
W 87 St & Amsterdam Ave;4997
Centre St & Worth St;4993
Vernon Blvd & 50 Ave;4991
Central Park West & W 72 St;4986
W 35 St & 9 Ave;4965
Hudson St & Reade St;4953
W 36 St & 7 Ave;4930
E 48 St & 5 Ave;4922
E Houston St & Columbia St;4904
Milton St & Franklin St;4887
Bank St & Washington St;4872
2 Ave & E 96 St;4861
Clinton St & Joralemon St;4851
8 Ave & W 27 St;4832
Lawrence St & Willoughby St;4820
Lexington Ave & E 26 St;4820
Greenwich St & Perry St;4816
Clark St & Henry St;4815
3 St & 7 Ave;4802
Central Park W & W 97 St;4783
Morton St & West St;4769
St. Nicholas Ave & W 126 St;4769
E 81 St & York Ave;4761
W 100 St & Manhattan Ave;4745
W 46 St & 11 Ave;4715
W 37 St & 5 Ave;4713
E 51 St & 1 Ave;4708
W 47 St & 6 Ave;4698
1 Ave & E 44 St;4694
E 76 St & Park Ave;4689
E 89 St & York Ave;4688
Cathedral Pkwy & Broadway;4665
Graham Ave & Conselyea St;4663
St Nicholas Ave & Manhattan Ave;4642
Grand St & Greene St;4629
William St & Pine St;4628
E 7 St & Ave C;4625
W 52 St & 6 Ave;4625
N 12 St & Bedford Ave;4590
Kenmare St & Elizabeth St;4564
W 106 St & Central Park West;4554
5 Ave & E 87 St;4546
E 12 St & Ave C;4545
Clinton St & Cherry St;4500
E 58 St & Madison Ave;4479
